collection.date,dissection.date,collection.site,fish.id,species,sex,sex.label,sex.species,tremr,treml,unk,totalpara,notes,label.notes
8/12/22,2/9/23,WES,PF-44,formosa,F,F,formosaF,0,0,0,0,poorly preserved ,
,,,,,,,,,,,,,
8/12/22,2/15/23,WES,PF-45,formosa,F,F,formosaF,1,0,0,1,well preserved,
,,,,,,,,,,,,,
8/13/22,4/5/23,WES,PF-46,formosa,F,F,formosaF,0,2,0,2,,
,,,,,,,,,,,,,
8/12/22,2/23/23,WES,PF-47,formosa,F,F,formosaF,0,1,0,1,Poorly preserved,
,,,,,,,,,,,,,
8/12/22,4/2/23,WES,PF-49,formosa,F,F,formosaF,18,7,2,27,medium preservation,
,,,,,,,,,,,,,
8/12/22,3/1/23,WES,PF-50,formosa,F,F,formosaF,0,0,0,0,very poorly preserved,
,,,,,,,,,,,,,
8/12/22,3/17/23,WES,PF-51,formosa,F,F,formosaF,4,5,1,10,medium preservation,
,,,,,,,,,,,,,
8/12/22,2/16/23,WES,PF-52,formosa,F,not listed,formosaF,0,1,1,2,,no sex listed on the label with the specimen 
,,,,,,,,,,,,,
8/12/22,2/28/23,WES,PF-53,formosa,F,F,formosaF,1,0,1,2,well preserved,
,,,,,,,,,,,,,
8/12/22,3/1/23,WES,PF-54,formosa,F,F,formosaF,3,2,2,7,good preserved ,
,,,,,,,,,,,,,
8/12/22,1/20/23,WES,PF-55,formosa,F,F,formosaF,1,0,0,1,poorly preserved ,
,,,,,,,,,,,,,
8/12/22,2/9/23,WES,PF-56,formosa,F,F,formosaF,1,0,0,1,poorly preserved ,
,,,,,,,,,,,,,
8/12/22,2/15/23,WES,PF-57,formosa,F,F,formosaF,2,2,0,4,,
,,,,,,,,,,,,,
8/12/22,4/2/23,WES,PF-58,formosa,F,F,formosaF,2,3,1,6,medium preservation,
,,,,,,,,,,,,,
8/12/22,2/15/23,WES,PF-59,formosa,F,F,formosaF,0,0,2,2,,
,,,,,,,,,,,,,
8/13/22,4/5/23,WES,PF-59,formosa,F,F,formosaF,5,2,0,7,poorly preserved,
,,,,,,,,,,,,,
8/8/22,4/5/23,WES,PF-6,formosa,F,F,formosaF,34,31,0,65,poorly preserved,
,,,,,,,,,,,,,
8/13/22,3/19/23,WES,PF-60,formosa,F,F,formosaF,11,9,1,21,Poorly preserved,
,,,,,,,,,,,,,
8/13/22,3/2/23,WES,PF-61,formosa,F,F,formosaF,0,0,2,2,medium preservation,
,,,,,,,,,,,,,
8/11/22,4/2/23,WES,PF-62,formosa,F,F,formosaF,4,1,0,5,Poorly preserved,
,,,,,,,,,,,,,
8/12/22,2/15/23,WES,PF-63,formosa,F,F,formosaF,1,3,0,4,well preserved,
,,,,,,,,,,,,,
8/12/22,3/17/23,WES,PF-64,formosa,F,F,formosaF,8,11,2,21,medium preservation,
,,,,,,,,,,,,,
8/13/22,3/1/23,WES,PF-65,formosa,F,F,formosaF,11,4,0,15,medium preservation,
,,,,,,,,,,,,,
8/8/22,1/25/23,BR-OP,PL-01,latipinna,F,F,latipinnaF,31,37,8,76,badly decomposed,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-02,latipinna,M,M,latipinnaM,51,64,40,155,,
,,,,,,,,,,,,,
8/8/22,1/25/23,BR-OP,PL-04,latipinna,F,F,latipinnaF,81,51,16,148,badly decomposed,
,,,,,,,,,,,,,
8/9/22,3/1/23,WES,PL-05,latipinna,M,M,latipinnaM,0,0,0,0,good preserved ,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-07,latipinna,F,F,latipinnaF,0,0,3,3,well preserved,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-08,latipinna,M,M,latipinnaM,6,12,11,29,badly decomposed,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-09,latipinna,F,F,latipinnaF,36,30,19,85,,
,,,,,,,,,,,,,
8/8/22,2/1/23,BR-OP,PL-10,latipinna,M,M,latipinnaM,51,68,35,154,well preserved,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-11,latipinna,F,F,latipinnaF,0,0,0,0,poorly preserved ,
,,,,,,,,,,,,,
8/9/22,4/1/23,BR-OP,PL-12,latipinna,F,F,latipinnaF,0,0,0,0,Poorly preserved,
,,,,,,,,,,,,,
8/9/22,1/20/23,BR-OP,PL-13,latipinna,M,M,latipinnaM,142,60,8,210,,
,,,,,,,,,,,,,
8/8/22,1/20/23,BR-OP,PL-14,latipinna,F,F,latipinnaF,12,8,1,21,well preserved,
,,,,,,,,,,,,,
8/8/22,1/20/23,WES,PL-15,latipinna,M,M,latipinnaM,0,2,0,2,poorly preserved ,
,,,,,,,,,,,,,
8/8/22,2/9/23,WES,PL-16,latipinna,F,F,latipinnaF,1,5,0,6,medium preserved,
,,,,,,,,,,,,,
8/8/22,2/9/23,WES,PL-17,latipinna,F,F,latipinnaF,0,3,0,3,medium preserved,
,,,,,,,,,,,,,
8/8/22,3/1/23,WES,PL-18,latipinna,F,F,latipinnaF,1,0,2,3,medium preservation,
,,,,,,,,,,,,,
8/8/22,2/9/23,WES,PL-19,latipinna,F,F,latipinnaF,0,1,0,1,poorly preserved ,
,,,,,,,,,,,,,
8/9/22,1/20/23,WES,PL-20,latipinna,F,F,latipinnaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/9/22,2/23/23,WES,PL-22,latipinna,F,F,latipinnaF,1,0,0,1,medium preservation,
,,,,,,,,,,,,,
8/9/22,2/28/23,WES,PL-25,latipinna,F,F,latipinnaF,0,0,0,0,poorly preserved,
,,,,,,,,,,,,,
8/11/22,1/25/23,BR-OP,PL-26,latipinna,M,M,latipinnaM,81,97,37,215,badly decomposed,
,,,,,,,,,,,,,
8/11/22,2/14/23,BR-OP,PL-27,latipinna,F,F,latipinnaF,98,136,20,254,Poorly preserved,
,,,,,,,,,,,,,
8/11/22,1/25/23,BR-OP,PL-28,latipinna,F,F,latipinnaF,78,69,28,175,poorly preserved,
,,,,,,,,,,,,,
8/11/22,2/1/23,BR-OP,PL-29,latipinna,M,M,latipinnaM,51,67,6,124,,
,,,,,,,,,,,,,
8/11/22,2/3/23,BR-OP,PL-30,latipinna,F,F,latipinnaF,24,31,0,55,Medium preservation ,
,,,,,,,,,,,,,
8/11/22,2/1/23,BR-OP,PL-31,latipinna,F,F,latipinnaF,54,47,5,106,poorly preserved,
,,,,,,,,,,,,,
8/11/22,2/1/23,BR-OP,PL-32,latipinna,F,F,latipinnaF,105,75,3,183,well preserved,
,,,,,,,,,,,,,
8/11/22,1/24/23,BR-OP,PL-34,latipinna,M,M,latipinnaM,167,96,25,288,well preserved,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-35,latipinna,M,M,latipinnaM,38,35,3,76,well preserved ,
,,,,,,,,,,,,,
8/11/22,2/3/23,BR-OP,PL-35,latipinna,M,M,latipinnaM,53,35,2,90,Medium preservation ,
,,,,,,,,,,,,,
8/11/22,2/2/23,BR-OP,PL-36,latipinna,F,F,latipinnaF,3,2,0,5,poorly preserved ,
,,,,,,,,,,,,,
8/11/22,2/9/23,BR-OP,PL-37,latipinna,F,F,latipinnaF,2,1,0,3,poorly preserved ,
,,,,,,,,,,,,,
8/10/22,2/2/23,BR-OP,PL-38,latipinna,F,F,latipinnaF,10,9,3,22,poorly preserved ,
,,,,,,,,,,,,,
8/11/22,1/24/23,BR-OP,PL-38,latipinna,F,F,latipinnaF,53,26,18,97,,
,,,,,,,,,,,,,
8/10/22,1/20/23,BR-OP,PL-40,latipinna,M,M,latipinnaM,245,70,18,333,poorly preserved,
,,,,,,,,,,,,,
8/11/22,2/1/23,BR-OP,PL-41,latipinna,F,F,latipinnaF,38,47,17,102,,
,,,,,,,,,,,,,
8/11/22,2/1/23,BR-OP,PL-42,latipinna,F,F,latipinnaF,2,14,7,23,poorly preserved,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-43,latipinna,F,F,latipinnaF,0,0,0,0,badly decomposed,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-44,latipinna,F,F,latipinnaF,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-46,latipinna,M,M,latipinnaM,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,1/11/23,WES,PL-47,latipinna,F,F,latipinnaF,0,0,0,0,well preserved ,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-48,latipinna,F,F,latipinnaF,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-49,latipinna,M,M,latipinnaM,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,4/6/23,WES,PL-50,latipinna,F,F,latipinnaF,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,4/2/23,WES,PL-51,latipinna,F,F,latipinnaF,2,0,0,2,Poorly preserved,
,,,,,,,,,,,,,
8/13/22,2/16/23,WES,PL-52,latipinna,M,M,latipinnaM,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/13/22,1/20/23,WES,PL-53,latipinna,F,F,latipinnaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/13/22,1/13/23,WES,PL-54,latipinna,M,M,latipinnaM,0,0,0,0,,
,,,,,,,,,,,,,
8/13/22,3/18/23,WES,PL-55,latipinna,F,F,latipinnaF,1,2,0,3,Poorly preserved,
,,,,,,,,,,,,,
8/13/22,1/20/23,WES,PL-56,latipinna,F,F,latipinnaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/13/22,3/1/23,WES,PL-57,latipinna,F,F,latipinnaF,1,0,5,6,Poorly preserved,
,,,,,,,,,,,,,
8/13/22,4/6/23,WES,PL-58,latipinna,F,F,latipinnaF,1,1,1,3,poorly preserved,
,,,,,,,,,,,,,
8/13/22,2/3/23,WES,PL-60,latipinna,M,M,latipinnaM,1,0,1,2,poorly preserved ,
,,,,,,,,,,,,,
8/13/22,4/5/23,WES,PL-62,latipinna,F,F,latipinnaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/13/22,2/14/23,WES,PL-63,latipinna,F,F,latipinnaF,59,47,5,111,well preserved,
,,,,,,,,,,,,,
8/13/22,4/1/23,WES,PL-64,latipinna,F,F,latipinnaF,0,3,0,3,Poorly preserved,
,,,,,,,,,,,,,
8/13/22,3/18/23,WES,PL-66,latipinna,M,M,latipinnaM,0,0,0,0,medium preservation,
